Email,User_ID,Access_Date,Action_Type,Role,Permission_Set,Effective_Access,Expiry_Date
user44@atko.email,U0052,2025-10-27T23:05:51Z,LOGIN,Security,SALES_VIEW,Permitted,2025-11-01T23:05:51Z
user2@atko.email,U0010,2025-09-25T23:05:51Z,READ,Payment Processor,FIN_VENDOR_CREATOR,Denied,2025-09-30T23:05:51Z
user41@atko.email,U0049,2025-11-06T23:05:51Z,EXECUTE,Sales,AUDIT_READ,Denied,2025-11-11T23:05:51Z
user39@atko.email,U0047,2025-10-06T23:05:51Z,CREATE NEW VENDOR,HR,GENERAL_USER,Denied,2025-10-11T23:05:51Z
user26@atko.email,U0034,2025-10-02T23:05:51Z,UPDATE,Auditor,SYSTEM_ADMIN_ALL,Denied,2025-10-07T23:05:51Z
kobe.doe@atko.email,U0005,2025-10-30T23:05:51Z,DELETE,Finance,FIN_VENDOR_CREATOR,Permitted,2025-11-04T23:05:51Z
user40@atko.email,U0048,2025-10-21T23:05:51Z,UPDATE,Employee,FINANCE_EDIT,Permitted,2025-10-26T23:05:51Z
user2@atko.email,U0010,2025-11-01T23:05:51Z,APPROVE,Employee,IT_MAINTAIN,Permitted,2025-11-06T23:05:51Z
harms.rosa@atko.email,U0003,2025-09-30T23:05:51Z,LOGIN,IT_Ops,READ_ONLY,Denied,2025-10-05T23:05:51Z
user24@atko.email,U0032,2025-11-06T23:05:51Z,DELETE,HR,READ_ONLY,Denied,2025-11-11T23:05:51Z
user46@atko.email,U0054,2025-10-14T23:05:51Z,APPROVE,Auditor,SYSTEM_ADMIN_ALL,Denied,2025-10-19T23:05:51Z
user43@atko.email,U0051,2025-11-19T23:05:51Z,UPDATE,Finance,FINANCE_EDIT,Permitted,2025-11-24T23:05:51Z
user35@atko.email,U0043,2025-10-20T23:05:51Z,APPROVE,Admin,SALES_VIEW,Permitted,2025-10-25T23:05:51Z
user2@atko.email,U0010,2025-11-22T23:05:51Z,WRITE,Finance,SYSTEM_ADMIN_ALL,Denied,2025-11-27T23:05:51Z
user26@atko.email,U0034,2025-10-13T23:05:51Z,APPROVE,Security,FINANCE_EDIT,Denied,2025-10-18T23:05:51Z
user44@atko.email,U0052,2025-11-09T23:05:51Z,LOGOUT,Payment Processor,FINANCE_EDIT,Denied,2025-11-14T23:05:51Z
user39@atko.email,U0047,2025-11-12T23:05:51Z,DELETE,Payment Processor,SALES_VIEW,Permitted,2025-11-17T23:05:51Z
user13@atko.email,U0021,2025-09-19T23:05:51Z,READ,IT_Ops,AUDIT_READ,Permitted,2025-09-24T23:05:51Z
user6@atko.email,U0014,2025-09-11T23:05:51Z,WRITE,Finance,FINANCE_EDIT,Permitted,2025-09-16T23:05:51Z
user29@atko.email,U0037,2025-09-26T23:05:51Z,CHECK_PERMS,Auditor,SECURITY_EXECUTE,Denied,2025-10-01T23:05:51Z
user40@atko.email,U0048,2025-09-12T23:05:51Z,CREATE NEW VENDOR,Employee,AUDIT_READ,Denied,2025-09-17T23:05:51Z
user49@atko.email,U0057,2025-09-01T23:05:51Z,WRITE,Admin,READ_ONLY,Denied,2025-09-06T23:05:51Z
user22@atko.email,U0030,2025-11-11T23:05:51Z,UPDATE,Payment Processor,SALES_VIEW,Permitted,2025-11-16T23:05:51Z
user25@atko.email,U0033,2025-09-24T23:05:51Z,CREATE NEW VENDOR,IT_Ops,GENERAL_USER,Permitted,2025-09-29T23:05:51Z
user4@atko.email,U0012,2025-09-22T23:05:51Z,EXECUTE,Security,SALES_VIEW,Denied,2025-09-27T23:05:51Z
user48@atko.email,U0056,2025-10-18T23:05:51Z,APPROVE,Payment Processor,GENERAL_USER,Permitted,2025-10-23T23:05:51Z
user25@atko.email,U0033,2025-09-16T23:05:51Z,UPDATE,Admin,FIN_VENDOR_CREATOR,Permitted,2025-09-21T23:05:51Z
user24@atko.email,U0032,2025-09-11T23:05:51Z,LOGIN,Admin,SECURITY_EXECUTE,Denied,2025-09-16T23:05:51Z
user16@atko.email,U0024,2025-11-20T23:05:51Z,UPDATE,Security,FINANCE_EDIT,Denied,2025-11-25T23:05:51Z
user6@atko.email,U0014,2025-11-17T23:05:51Z,DELETE,Viewer,FIN_PROCESS_APPR,Permitted,2025-11-22T23:05:51Z
john.doe@atko.email,U0002,2025-09-13T23:05:51Z,CREATE NEW VENDOR,Security,AUDIT_READ,Permitted,2025-09-18T23:05:51Z
user49@atko.email,U0057,2025-09-16T23:05:51Z,APPROVE,Security,HR_VIEW,Permitted,2025-09-21T23:05:51Z
user12@atko.email,U0020,2025-09-17T23:05:51Z,EXECUTE,Admin,IT_MAINTAIN,Denied,2025-09-22T23:05:51Z
max@atko.email,U0007,2025-09-28T23:05:51Z,READ,IT_Ops,GENERAL_USER,Permitted,2025-10-03T23:05:51Z
user36@atko.email,U0044,2025-11-16T23:05:51Z,READ,Employee,FIN_VENDOR_CREATOR,Permitted,2025-11-11T23:05:51Z
user38@atko.email,U0046,2025-11-13T23:05:51Z,CREATE NEW VENDOR,IT_Ops,FIN_PROCESS_APPR,Permitted,2025-11-18T23:05:51Z
user11@atko.email,U0019,2025-10-18T23:05:51Z,UPDATE,Payment Processor,FIN_PROCESS_APPR,Denied,2025-10-23T23:05:51Z
user19@atko.email,U0027,2025-10-30T23:05:51Z,LOGOUT,Security,IT_MAINTAIN,Permitted,2025-11-04T23:05:51Z
user24@atko.email,U0032,2025-09-10T23:05:51Z,DELETE,Payment Processor,SYSTEM_ADMIN_ALL,Denied,2025-09-15T23:05:51Z
user6@atko.email,U0014,2025-11-10T23:05:51Z,READ,Sales,GENERAL_USER,Denied,2025-11-15T23:05:51Z
user33@atko.email,U0041,2025-10-28T23:05:51Z,CHECK_PERMS,Admin,FINANCE_EDIT,Denied,2025-11-02T23:05:51Z
user8@atko.email,U0016,2025-09-05T23:05:51Z,APPROVE,Auditor,READ_ONLY,Denied,2025-08-31T23:05:51Z
user2@atko.email,U0010,2025-12-01T23:05:51Z,LOGOUT,IT_Ops,SYSTEM_ADMIN_ALL,Permitted,2025-12-06T23:05:51Z
harms.rosa@atko.email,U0003,2025-10-10T23:05:51Z,DELETE,Payment Processor,SECURITY_EXECUTE,Denied,2025-10-15T23:05:51Z
user17@atko.email,U0025,2025-09-27T23:05:51Z,READ,Finance,SECURITY_EXECUTE,Permitted,2025-10-02T23:05:51Z
user7@atko.email,U0015,2025-11-20T23:05:51Z,UPDATE,IT_Ops,IT_MAINTAIN,Denied,2025-11-25T23:05:51Z
user42@atko.email,U0050,2025-10-30T23:05:51Z,APPROVE,Auditor,SECURITY_EXECUTE,Permitted,2025-11-04T23:05:51Z
user49@atko.email,U0057,2025-09-12T23:05:51Z,WRITE,Viewer,FINANCE_EDIT,Permitted,2025-09-17T23:05:51Z
user24@atko.email,U0032,2025-09-29T23:05:51Z,READ,Payment Processor,SYSTEM_ADMIN_ALL,Denied,2025-10-04T23:05:51Z
samantha.driver@atko.email,U0004,2025-11-07T23:05:51Z,CREATE NEW VENDOR,Employee,FIN_VENDOR_CREATOR,Permitted,2025-11-12T23:05:51Z
harms.rosa@atko.email,U0003,2025-09-08T23:05:51Z,APPROVE,HR,IT_MAINTAIN,Denied,2025-09-13T23:05:51Z
user35@atko.email,U0043,2025-08-27T23:05:51Z,LOGOUT,Viewer,HR_VIEW,Permitted,2025-09-01T23:05:51Z
max@atko.email,U0007,2025-09-01T23:05:51Z,WRITE,Viewer,HR_VIEW,Permitted,2025-09-06T23:05:51Z
user10@atko.email,U0018,2025-12-03T23:05:51Z,CREATE NEW VENDOR,Payment Processor,HR_VIEW,Permitted,2025-11-28T23:05:51Z
user46@atko.email,U0054,2025-11-08T23:05:51Z,READ,Security,READ_ONLY,Permitted,2025-11-13T23:05:51Z
max@atko.email,U0007,2025-11-24T23:05:51Z,EXECUTE,HR,SYSTEM_ADMIN_ALL,Denied,2025-11-29T23:05:51Z
user45@atko.email,U0053,2025-12-04T23:05:51Z,LOGOUT,HR,SALES_VIEW,Permitted,2025-11-29T23:05:51Z
user22@atko.email,U0030,2025-09-18T23:05:51Z,READ,Auditor,FIN_VENDOR_CREATOR,Permitted,2025-09-23T23:05:51Z
user29@atko.email,U0037,2025-09-29T23:05:51Z,EXECUTE,Finance,FIN_VENDOR_CREATOR,Denied,2025-10-04T23:05:51Z
creep.user@atko.email,U9999,2025-11-09T23:05:51Z,DELETE,Payment Processor,AUDIT_READ,Denied,2025-11-14T23:05:51Z
user18@atko.email,U0026,2025-09-10T23:05:51Z,READ,Security,FINANCE_EDIT,Denied,2025-09-15T23:05:51Z
user39@atko.email,U0047,2025-10-29T23:05:51Z,CREATE NEW VENDOR,Admin,READ_ONLY,Permitted,2025-11-03T23:05:51Z
user27@atko.email,U0035,2025-11-30T23:05:51Z,CREATE NEW VENDOR,Security,FIN_PROCESS_APPR,Permitted,2025-12-05T23:05:51Z
user13@atko.email,U0021,2025-09-14T23:05:51Z,CREATE NEW VENDOR,Payment Processor,READ_ONLY,Permitted,2025-09-19T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-09-14T23:05:51Z,WRITE,HR,HR_VIEW,Denied,2025-09-19T23:05:51Z
user32@atko.email,U0040,2025-10-05T23:05:51Z,WRITE,HR,AUDIT_READ,Permitted,2025-10-10T23:05:51Z
user8@atko.email,U0016,2025-09-24T23:05:51Z,DELETE,Sales,FIN_PROCESS_APPR,Permitted,2025-09-29T23:05:51Z
user29@atko.email,U0037,2025-08-27T23:05:51Z,WRITE,Payment Processor,AUDIT_READ,Permitted,2025-09-01T23:05:51Z
user1@atko.email,U0009,2025-09-02T23:05:51Z,UPDATE,Auditor,SALES_VIEW,Permitted,2025-09-07T23:05:51Z
user1@atko.email,U0009,2025-11-16T23:05:51Z,LOGIN,HR,GENERAL_USER,Denied,2025-11-21T23:05:51Z
user14@atko.email,U0022,2025-12-01T23:05:51Z,WRITE,Admin,FIN_PROCESS_APPR,Denied,2025-11-26T23:05:51Z
user31@atko.email,U0039,2025-10-08T23:05:51Z,UPDATE,HR,FINANCE_EDIT,Permitted,2025-10-13T23:05:51Z
user2@atko.email,U0010,2025-10-27T23:05:51Z,READ,Employee,SALES_VIEW,Denied,2025-11-01T23:05:51Z
user20@atko.email,U0028,2025-08-28T23:05:51Z,APPROVE,IT_Ops,HR_VIEW,Permitted,2025-09-02T23:05:51Z
user38@atko.email,U0046,2025-10-05T23:05:51Z,UPDATE,Security,GENERAL_USER,Denied,2025-10-10T23:05:51Z
user20@atko.email,U0028,2025-09-16T23:05:51Z,CREATE NEW VENDOR,Payment Processor,HR_VIEW,Denied,2025-09-21T23:05:51Z
user47@atko.email,U0055,2025-10-19T23:05:51Z,READ,Employee,FIN_PROCESS_APPR,Denied,2025-10-24T23:05:51Z
user29@atko.email,U0037,2025-11-27T23:05:51Z,LOGOUT,Auditor,SECURITY_EXECUTE,Denied,2025-12-02T23:05:51Z
user18@atko.email,U0026,2025-11-07T23:05:51Z,WRITE,Employee,GENERAL_USER,Denied,2025-11-12T23:05:51Z
user28@atko.email,U0036,2025-11-01T23:05:51Z,WRITE,Employee,AUDIT_READ,Denied,2025-11-06T23:05:51Z
user19@atko.email,U0027,2025-11-05T23:05:51Z,APPROVE,Employee,READ_ONLY,Denied,2025-11-10T23:05:51Z
user41@atko.email,U0049,2025-08-31T23:05:51Z,DELETE,Finance,READ_ONLY,Permitted,2025-09-05T23:05:51Z
user30@atko.email,U0038,2025-11-03T23:05:51Z,READ,Employee,READ_ONLY,Denied,2025-11-08T23:05:51Z
user42@atko.email,U0050,2025-11-09T23:05:51Z,CHECK_PERMS,Security,FINANCE_EDIT,Permitted,2025-11-14T23:05:51Z
max@atko.email,U0007,2025-11-19T23:05:51Z,EXECUTE,Viewer,HR_VIEW,Denied,2025-11-24T23:05:51Z
user28@atko.email,U0036,2025-10-21T23:05:51Z,WRITE,Security,AUDIT_READ,Denied,2025-10-26T23:05:51Z
creep.user@atko.email,U9999,2025-10-25T23:05:51Z,WRITE,Employee,SALES_VIEW,Permitted,2025-10-30T23:05:51Z
user2@atko.email,U0010,2025-11-01T23:05:51Z,WRITE,Viewer,FIN_VENDOR_CREATOR,Denied,2025-11-06T23:05:51Z
user39@atko.email,U0047,2025-11-03T23:05:51Z,LOGOUT,Security,SALES_VIEW,Denied,2025-11-08T23:05:51Z
user44@atko.email,U0052,2025-08-29T23:05:51Z,EXECUTE,Admin,AUDIT_READ,Denied,2025-09-03T23:05:51Z
creep.user@atko.email,U9999,2025-10-28T23:05:51Z,WRITE,Finance,FINANCE_EDIT,Denied,2025-11-02T23:05:51Z
user1@atko.email,U0009,2025-08-31T23:05:51Z,CREATE NEW VENDOR,Admin,SECURITY_EXECUTE,Denied,2025-09-05T23:05:51Z
user6@atko.email,U0014,2025-11-06T23:05:51Z,DELETE,Security,SALES_VIEW,Denied,2025-11-11T23:05:51Z
user37@atko.email,U0045,2025-10-28T23:05:51Z,READ,Employee,AUDIT_READ,Denied,2025-11-02T23:05:51Z
user42@atko.email,U0050,2025-09-20T23:05:51Z,LOGIN,Security,READ_ONLY,Permitted,2025-09-25T23:05:51Z
user42@atko.email,U0050,2025-10-16T23:05:51Z,LOGOUT,HR,FIN_VENDOR_CREATOR,Permitted,2025-10-11T23:05:51Z
user2@atko.email,U0010,2025-11-17T23:05:51Z,APPROVE,Auditor,GENERAL_USER,Permitted,2025-11-22T23:05:51Z
user19@atko.email,U0027,2025-09-22T23:05:51Z,CHECK_PERMS,HR,READ_ONLY,Permitted,2025-09-27T23:05:51Z
user16@atko.email,U0024,2025-08-26T23:05:51Z,LOGIN,Payment Processor,AUDIT_READ,Permitted,2025-08-31T23:05:51Z
user11@atko.email,U0019,2025-11-17T23:05:51Z,APPROVE,Viewer,SYSTEM_ADMIN_ALL,Denied,2025-11-22T23:05:51Z
user0@atko.email,U0008,2025-11-24T23:05:51Z,CREATE NEW VENDOR,Admin,SYSTEM_ADMIN_ALL,Denied,2025-11-29T23:05:51Z
ivan@atko.email,U0006,2025-11-15T23:05:51Z,EXECUTE,IT_Ops,SYSTEM_ADMIN_ALL,Permitted,2025-11-20T23:05:51Z
user2@atko.email,U0010,2025-11-15T23:05:51Z,DELETE,HR,SECURITY_EXECUTE,Denied,2025-11-20T23:05:51Z
john.doe@atko.email,U0002,2025-10-02T23:05:51Z,CREATE NEW VENDOR,HR,SECURITY_EXECUTE,Denied,2025-10-07T23:05:51Z
user49@atko.email,U0057,2025-12-01T23:05:51Z,READ,Finance,GENERAL_USER,Denied,2025-12-06T23:05:51Z
user26@atko.email,U0034,2025-10-17T23:05:51Z,CHECK_PERMS,Sales,SYSTEM_ADMIN_ALL,Denied,2025-10-22T23:05:51Z
user36@atko.email,U0044,2025-10-12T23:05:51Z,UPDATE,HR,READ_ONLY,Permitted,2025-10-07T23:05:51Z
user1@atko.email,U0009,2025-11-18T23:05:51Z,WRITE,Payment Processor,AUDIT_READ,Denied,2025-11-23T23:05:51Z
user32@atko.email,U0040,2025-10-09T23:05:51Z,DELETE,Admin,SECURITY_EXECUTE,Denied,2025-10-14T23:05:51Z
user30@atko.email,U0038,2025-10-05T23:05:51Z,WRITE,Admin,SYSTEM_ADMIN_ALL,Permitted,2025-10-10T23:05:51Z
user39@atko.email,U0047,2025-11-13T23:05:51Z,READ,Admin,FINANCE_EDIT,Permitted,2025-11-18T23:05:51Z
user26@atko.email,U0034,2025-11-22T23:05:51Z,EXECUTE,Auditor,READ_ONLY,Permitted,2025-11-27T23:05:51Z
user19@atko.email,U0027,2025-10-03T23:05:51Z,CREATE NEW VENDOR,Finance,SYSTEM_ADMIN_ALL,Denied,2025-10-08T23:05:51Z
user33@atko.email,U0041,2025-11-24T23:05:51Z,UPDATE,Sales,FINANCE_EDIT,Permitted,2025-11-29T23:05:51Z
user14@atko.email,U0022,2025-10-20T23:05:51Z,READ,Auditor,FIN_PROCESS_APPR,Denied,2025-10-25T23:05:51Z
user33@atko.email,U0041,2025-10-08T23:05:51Z,WRITE,Viewer,GENERAL_USER,Denied,2025-10-13T23:05:51Z
user12@atko.email,U0020,2025-10-07T23:05:51Z,APPROVE,Employee,AUDIT_READ,Permitted,2025-10-12T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-11-27T23:05:51Z,CREATE NEW VENDOR,HR,GENERAL_USER,Permitted,2025-12-02T23:05:51Z
user16@atko.email,U0024,2025-11-21T23:05:51Z,DELETE,Sales,GENERAL_USER,Denied,2025-11-26T23:05:51Z
user40@atko.email,U0048,2025-11-09T23:05:51Z,LOGOUT,Sales,FINANCE_EDIT,Denied,2025-11-14T23:05:51Z
user49@atko.email,U0057,2025-11-23T23:05:51Z,EXECUTE,HR,AUDIT_READ,Permitted,2025-11-28T23:05:51Z
user23@atko.email,U0031,2025-09-27T23:05:51Z,UPDATE,Admin,SYSTEM_ADMIN_ALL,Permitted,2025-10-02T23:05:51Z
user26@atko.email,U0034,2025-10-23T23:05:51Z,WRITE,IT_Ops,FIN_PROCESS_APPR,Denied,2025-10-28T23:05:51Z
user11@atko.email,U0019,2025-11-08T23:05:51Z,CREATE NEW VENDOR,Viewer,SYSTEM_ADMIN_ALL,Permitted,2025-11-13T23:05:51Z
samantha.driver@atko.email,U0004,2025-10-01T23:05:51Z,CHECK_PERMS,Admin,HR_VIEW,Denied,2025-10-06T23:05:51Z
user46@atko.email,U0054,2025-10-30T23:05:51Z,CREATE NEW VENDOR,IT_Ops,HR_VIEW,Permitted,2025-11-04T23:05:51Z
user46@atko.email,U0054,2025-09-06T23:05:51Z,UPDATE,HR,SALES_VIEW,Permitted,2025-09-11T23:05:51Z
user37@atko.email,U0045,2025-10-01T23:05:51Z,DELETE,Payment Processor,FIN_VENDOR_CREATOR,Denied,2025-10-06T23:05:51Z
user49@atko.email,U0057,2025-09-03T23:05:51Z,CREATE NEW VENDOR,Viewer,READ_ONLY,Permitted,2025-09-08T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-10-03T23:05:51Z,DELETE,Sales,SECURITY_EXECUTE,Permitted,2025-10-08T23:05:51Z
user5@atko.email,U0013,2025-10-05T23:05:51Z,WRITE,Auditor,FINANCE_EDIT,Denied,2025-10-10T23:05:51Z
user27@atko.email,U0035,2025-11-24T23:05:51Z,LOGIN,Employee,GENERAL_USER,Denied,2025-11-29T23:05:51Z
ashwin.ramnarayanan@okta.com,U0001,2025-11-16T23:05:51Z,READ,Finance,AUDIT_READ,Denied,2025-11-21T23:05:51Z
user34@atko.email,U0042,2025-08-29T23:05:51Z,WRITE,Payment Processor,GENERAL_USER,Permitted,2025-09-03T23:05:51Z
user24@atko.email,U0032,2025-11-23T23:05:51Z,APPROVE,Auditor,FIN_VENDOR_CREATOR,Permitted,2025-11-28T23:05:51Z
creep.user@atko.email,U9999,2025-10-24T23:05:51Z,LOGIN,IT_Ops,READ_ONLY,Denied,2025-10-29T23:05:51Z
user4@atko.email,U0012,2025-08-29T23:05:51Z,UPDATE,HR,AUDIT_READ,Denied,2025-09-03T23:05:51Z
samantha.driver@atko.email,U0004,2025-09-12T23:05:51Z,LOGIN,Payment Processor,FIN_VENDOR_CREATOR,Denied,2025-09-17T23:05:51Z
user44@atko.email,U0052,2025-08-25T23:05:51Z,WRITE,Finance,IT_MAINTAIN,Denied,2025-08-30T23:05:51Z
user18@atko.email,U0026,2025-11-15T23:05:51Z,EXECUTE,HR,FIN_PROCESS_APPR,Permitted,2025-11-20T23:05:51Z
user16@atko.email,U0024,2025-10-04T23:05:51Z,UPDATE,Viewer,HR_VIEW,Permitted,2025-10-09T23:05:51Z
user48@atko.email,U0056,2025-11-20T23:05:51Z,CREATE NEW VENDOR,Viewer,FIN_VENDOR_CREATOR,Permitted,2025-11-25T23:05:51Z
user0@atko.email,U0008,2025-11-16T23:05:51Z,UPDATE,Admin,FIN_VENDOR_CREATOR,Denied,2025-11-21T23:05:51Z
user33@atko.email,U0041,2025-09-30T23:05:51Z,LOGOUT,Auditor,IT_MAINTAIN,Denied,2025-10-05T23:05:51Z
user20@atko.email,U0028,2025-11-11T23:05:51Z,EXECUTE,Viewer,FIN_VENDOR_CREATOR,Permitted,2025-11-16T23:05:51Z
user33@atko.email,U0041,2025-09-23T23:05:51Z,LOGIN,Finance,SYSTEM_ADMIN_ALL,Permitted,2025-09-28T23:05:51Z
user48@atko.email,U0056,2025-11-08T23:05:51Z,APPROVE,Admin,FIN_VENDOR_CREATOR,Permitted,2025-11-13T23:05:51Z
user5@atko.email,U0013,2025-10-19T23:05:51Z,UPDATE,Employee,GENERAL_USER,Permitted,2025-10-24T23:05:51Z
user13@atko.email,U0021,2025-09-27T23:05:51Z,UPDATE,Finance,FINANCE_EDIT,Denied,2025-10-02T23:05:51Z
user47@atko.email,U0055,2025-09-29T23:05:51Z,LOGIN,Sales,READ_ONLY,Permitted,2025-09-24T23:05:51Z
user44@atko.email,U0052,2025-11-21T23:05:51Z,READ,Admin,SECURITY_EXECUTE,Denied,2025-11-16T23:05:51Z
user18@atko.email,U0026,2025-09-27T23:05:51Z,DELETE,Sales,SYSTEM_ADMIN_ALL,Denied,2025-10-02T23:05:51Z
creep.user@atko.email,U9999,2025-08-30T23:05:51Z,WRITE,Auditor,FIN_PROCESS_APPR,Permitted,2025-09-04T23:05:51Z
harms.rosa@atko.email,U0003,2025-10-19T23:05:51Z,CHECK_PERMS,Viewer,FIN_PROCESS_APPR,Denied,2025-10-24T23:05:51Z
creep.user@atko.email,U9999,2025-10-13T23:05:51Z,READ,HR,SALES_VIEW,Denied,2025-10-18T23:05:51Z
user23@atko.email,U0031,2025-09-14T23:05:51Z,WRITE,HR,FIN_VENDOR_CREATOR,Permitted,2025-09-19T23:05:51Z
user5@atko.email,U0013,2025-09-29T23:05:51Z,LOGOUT,Auditor,FIN_PROCESS_APPR,Permitted,2025-10-04T23:05:51Z
user32@atko.email,U0040,2025-10-22T23:05:51Z,EXECUTE,Viewer,SECURITY_EXECUTE,Permitted,2025-10-27T23:05:51Z
user10@atko.email,U0018,2025-09-05T23:05:51Z,CREATE NEW VENDOR,HR,IT_MAINTAIN,Permitted,2025-09-10T23:05:51Z
creep.user@atko.email,U9999,2025-10-01T23:05:51Z,UPDATE,Security,SECURITY_EXECUTE,Permitted,2025-10-06T23:05:51Z
user22@atko.email,U0030,2025-09-17T23:05:51Z,LOGIN,Auditor,GENERAL_USER,Permitted,2025-09-22T23:05:51Z
user17@atko.email,U0025,2025-08-30T23:05:51Z,DELETE,Finance,GENERAL_USER,Denied,2025-09-04T23:05:51Z
user32@atko.email,U0040,2025-10-14T23:05:51Z,CHECK_PERMS,Admin,GENERAL_USER,Permitted,2025-10-19T23:05:51Z
user37@atko.email,U0045,2025-11-18T23:05:51Z,UPDATE,HR,SECURITY_EXECUTE,Denied,2025-11-23T23:05:51Z
user32@atko.email,U0040,2025-11-04T23:05:51Z,CREATE NEW VENDOR,Security,FIN_VENDOR_CREATOR,Permitted,2025-11-09T23:05:51Z
user20@atko.email,U0028,2025-10-02T23:05:51Z,EXECUTE,IT_Ops,FINANCE_EDIT,Permitted,2025-10-07T23:05:51Z
user48@atko.email,U0056,2025-10-31T23:05:51Z,READ,Viewer,READ_ONLY,Permitted,2025-11-05T23:05:51Z
user15@atko.email,U0023,2025-10-06T23:05:51Z,DELETE,IT_Ops,SALES_VIEW,Permitted,2025-10-11T23:05:51Z
user0@atko.email,U0008,2025-11-24T23:05:51Z,LOGIN,Security,FIN_VENDOR_CREATOR,Permitted,2025-11-29T23:05:51Z
user30@atko.email,U0038,2025-09-12T23:05:51Z,LOGOUT,IT_Ops,AUDIT_READ,Denied,2025-09-17T23:05:51Z
user18@atko.email,U0026,2025-08-27T23:05:51Z,DELETE,Auditor,GENERAL_USER,Permitted,2025-09-01T23:05:51Z
user29@atko.email,U0037,2025-09-28T23:05:51Z,UPDATE,HR,FIN_PROCESS_APPR,Permitted,2025-10-03T23:05:51Z
user31@atko.email,U0039,2025-11-14T23:05:51Z,CREATE NEW VENDOR,Auditor,READ_ONLY,Denied,2025-11-19T23:05:51Z
user48@atko.email,U0056,2025-11-25T23:05:51Z,APPROVE,Viewer,HR_VIEW,Denied,2025-11-30T23:05:51Z
user22@atko.email,U0030,2025-11-18T23:05:51Z,WRITE,Auditor,FIN_PROCESS_APPR,Denied,2025-11-23T23:05:51Z
user40@atko.email,U0048,2025-09-11T23:05:51Z,WRITE,Security,GENERAL_USER,Denied,2025-09-16T23:05:51Z
max@atko.email,U0007,2025-11-12T23:05:51Z,DELETE,IT_Ops,FINANCE_EDIT,Permitted,2025-11-17T23:05:51Z
user32@atko.email,U0040,2025-11-04T23:05:51Z,APPROVE,Viewer,IT_MAINTAIN,Permitted,2025-11-09T23:05:51Z
user23@atko.email,U0031,2025-10-26T23:05:51Z,DELETE,HR,SYSTEM_ADMIN_ALL,Permitted,2025-10-31T23:05:51Z
user18@atko.email,U0026,2025-09-09T23:05:51Z,APPROVE,Auditor,FINANCE_EDIT,Denied,2025-09-14T23:05:51Z
user26@atko.email,U0034,2025-12-01T23:05:51Z,APPROVE,HR,FIN_VENDOR_CREATOR,Permitted,2025-12-06T23:05:51Z
user22@atko.email,U0030,2025-11-14T23:05:51Z,LOGIN,Sales,READ_ONLY,Permitted,2025-11-19T23:05:51Z
user16@atko.email,U0024,2025-11-25T23:05:51Z,LOGOUT,Viewer,IT_MAINTAIN,Permitted,2025-11-30T23:05:51Z
user13@atko.email,U0021,2025-11-27T23:05:51Z,EXECUTE,IT_Ops,GENERAL_USER,Denied,2025-12-02T23:05:51Z
